nombre,id,lat,lon
Alice Pizza Madrid Rio2,ChIJdxaw3EomQg0R9K2GTCMNy74,40.3908576,-3.7014177
Bravío Bodega,ChIJd1-kj0omQg0R_0CdjfjaAyU,40.3911402,-3.7014731
DUNKIN´ESPAÑA,ChIJrYFr3EomQg0Rq15GfqQawBk,40.3911402,-3.7014731
Rodilla,ChIJsVUs20omQg0Rzu5NTt1l2fg,40.390947,-3.701368
llaollao,ChIJf-ne6UomQg0R9Yj6iwwi40A,40.39131800000001,-3.701208
Five Guys Plaza Río 2,ChIJ7SCEQrQnQg0RoWGYUKK7fcs,40.39087799999999,-3.7008684
Las Delicias de Matilde,ChIJmyeaf0smQg0Rgx2EcPZ6aP8,40.3876862,-3.700403600000001
Restaurante Kebab Antonio López,ChIJi05OvMgnQg0R7dekhJ3G_to,40.39623429999999,-3.7122099
Restaurante Terraza La Playa,ChIJ--Xjo84nQg0RYmFd0I26pMs,40.39655630000001,-3.708437400000001
Bar La estrella,ChIJn785XK0nQg0RauCNyUW4MiQ,40.38206810000001,-3.7039727
Cafetería Terraza Montserrat,ChIJrXgZUs8nQg0Re_c86cX2XJQ,40.39730329999999,-3.712565
KFC,ChIJTZDfl0wmQg0RA3VmpUiJOCo,40.3869812,-3.7014591
Museo del Jamón,ChIJ96_FHUwmQg0RuinENsowBCU,40.38686999999999,-3.6985856
Restaurante La Fonda de Colombia,ChIJB_M0CbMnQg0RTxom3LKH-cc,40.3856575,-3.705025
Restaurante Chino Da Fa (Usera),ChIJ4c_JCksmQg0R_JjLypEZm9s,40.388653,-3.700472299999999
La Casa del Pulpo - Bar Los Gallegos,ChIJmWtPh0wmQg0RpSUiVYf-k3Q,40.38717799999999,-3.700408
Restaurante FEITO USERA,ChIJRZdFwEwmQg0RWKFcKFg4C0g,40.3861253,-3.701621199999999
Burger King,ChIJM7Xhv8gnQg0RBYtOSHsq38M,40.39611739999999,-3.7117996
Gilan Restaurante,ChIJCzhSM7UnQg0RA8YZpl4JdKY,40.3909564,-3.702969999999999
Taberna Andaluza Sacromonte,ChIJG4JT57MnQg0R3o9ErHjMWpc,40.38598669999999,-3.7076781
Pollo Rico,ChIJiy7rHbEnQg0RdL63hfB8NSQ,40.3855718,-3.7103819
NATO Robata&tapas bar,ChIJD0G9FMMnQg0R2rFhK9bBbKU,40.3872191,-3.7096246
Doxa Plant Based,ChIJqQdaUV4nQg0Rgd8mH0659dM,40.3915613,-3.7106793
Taberna candela,ChIJT7oh-bEnQg0RU_1NIJu3B5U,40.3865543,-3.7088113
Cerveceria Restaurante El Muro,ChIJtVjyLbYnQg0RJybCCWRSFmE,40.39172080000001,-3.710287799999999
Taberna lual,ChIJ26vxkrcnQg0RzgiSAvpNqtI,40.39082439999999,-3.712307
El Pollo De Oro,ChIJ7_1bCrQnQg0RN--jJIw98sQ,40.3873963,-3.7068614
BAR PISCINA MOSCARDO,ChIJQ6h6jZknQg0RiHF4EMoU5UQ,40.3885377,-3.7061194
Bar Chernobil,ChIJZ1w8RLEnQg0Rp_b57fL5_PI,40.38638769999999,-3.708871599999999
Spyros Gyros House,ChIJe6kob38nQg0R-a6KKg6euPk,40.3885168,-3.7132288
La concha,ChIJsSdairMnQg0RJ-JimUXLz-U,40.38724309999999,-3.706823900000001
restaurante asiatico fang,ChIJhQXA2zcmQg0RxuAsK-pcrPE,40.39321649999999,-3.6942975
Buenas y Santas,ChIJbddJCkgmQg0RzPAPx2oodH0,40.3919862,-3.692863399999999
Telepizza Antracita - Comida a Domicilio,ChIJpYflyTYmQg0RVix8ZBBSzMI,40.3904028,-3.6902925
Cerrada,ChIJq_UGEUgmQg0R6gpmZlWrDTQ,40.3916775,-3.693721700000001
Bar y tapas El Tarugo,ChIJdbN-2jcmQg0RlKxiA0mQTSo,40.3924806,-3.694682999999999
Restaurante Cocina Asiática Chun,ChIJ-eFukMwnQg0RwB7St1Fi6zE,40.3921103,-3.6932143
809 Madrid Bar Restaurante,ChIJ9WwN4kkmQg0RQ1-g66Bqgds,40.3926811,-3.696947800000001
IR SUSHI Legazpi,ChIJae04QUgmQg0RsK27vMIS1oI,40.3913451,-3.694183
Asador Perla del Pacífico,ChIJCcV3QkgmQg0RuAYHZpJBOhQ,40.3911064,-3.6940243
Pastelería Viena Capellanes,ChIJXcOPKEYmQg0R3ryJj55zK6I,40.3898901,-3.6932884
Latxaska Etxea,ChIJ_Rt_KEYmQg0Rrvl6GgY_334,40.3896204,-3.692618300000001
El Sabroso,ChIJFw07H0gmQg0RHKYKyc9a82U,40.3925494,-3.6939103
Restaurante Trattoria Increscendo,ChIJd5ke2jUmQg0RgobpMy44ekg,40.3946317,-3.6981225
Restaurante Monteferro,ChIJ667TLk4mQg0RAnjsxRjneT4,40.3828226,-3.6955672
Pizzería Carlos,ChIJ83avwTcmQg0R-Ys3Ty8c0S0,40.3938829,-3.6941509
Madrid Rio (antiguo Trending Tapas),ChIJgfyhbkYmQg0Rsj6-Nds3qbY,40.3887023,-3.6912594
Macarena Madrid,ChIJyzcjtEcmQg0R8QvEhcyhJJc,40.3906137,-3.6913145
Gustazio Gastrobar (Pinsa Romana & gastronomía italiana),ChIJjYjCcUYmQg0RBLP4OsGwWe8,40.3884173,-3.691095399999999
